,artist,played,song
0,Childhood,10:04,Californian Light
1,Grizzly Bear,10:08,Mourning Sound
2,Shabazz Palaces ft. Thadillac,10:12,Shine A Light
3,Tocotronic,10:17,Hey Du
4,Methyl Ethel,10:19,Ubu
5,Flut,10:23,Linz bei Nacht
6,M.P.,10:27,Lie To Me
7,Kooks,10:30,Be Who You Are
8,Lorde,10:36,Green Light
9,Sophia Kennedy,10:40,Build Me A House
10,Bonobo ft Nick Murphy,10:44,No Reason
11,Sookee,10:51,Queere Tiere
12,Von Seiten der Gemeinde,10:54,Lignano
13,Fil Bo Riva,10:57,Head Sonata
14,Palastic ft. Lea Santee,11:03,Talkin'
15,LCD Soundsystem,11:06,Tonite
16,Declan McKenna,11:11,The Kids Don't Wanna Come Home
17,Dives,11:14,Shrimp
18,5/8erl in Ehr'n,11:20,Kuss
19,Garish,11:24,Matador
20,AllttA,11:28,Bucket
21,Mynth,11:32,Mirrors
22,Fever Ray,11:38,To The Moon And Back
23,Sampha,11:41,No One Knows Me Like The Piano
24,Urbs ft. Tyna,11:44,Get Wid It
25,Wandl,11:50,Blowin' Smoke
26,Yungblud,11:53,King Charles
27,Nihils,11:56,Put You Back Together
28,Mura Masa ft. Desiigner,12:04,All Around The World
29,Catastrophe & Cure,12:07,On The Internet
30,Phoenix,12:11,J-Boy
31,Inner Tongue,12:15,Dig Deeper
32,Holly Miranda ft. Kyp Malone,12:18,Exquisite
33,Feist ft Jarvis Cocker,12:24,Century
34,Ghostpoet,12:28,Freakshow
35,Farewell Dear Ghost,12:32,Pink Noise
36,Cardi B.,12:39,Bodak Yellow
37,J Hus,12:43,Did You See
38,Gerard,12:46,Konichiwa
39,Tune-Yards,12:51,Look At Your Hands
40,Cosmo Sheldrake,12:56,Come Along
